,location,province,national,complete_loc,latitude,longitude,pop
335,Waterloo,ON,,"Waterloo, ON, Canada",43.466874,-80.524635,
336,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
337,Peterborough,ON,,"Peterborough, ON, Canada",44.3048009,-78.3199496,76458
338,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
339,Burnaby,BC,,"Burnaby, BC, Canada",49.2433804,-122.9725459,
340,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
341,Peterborough,ON,,"Peterborough, ON, Canada",44.3048009,-78.3199496,76458
342,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
343,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
344,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
345,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
346,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
347,Mount Polley,BC,,"Mount Polley, BC, Canada",50.7176447,-121.9186442,
348,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
349,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
350,Mississauga,ON,,"Mississauga, ON, Canada",43.590338,-79.645729,
351,Qc City,QC,,"Qc City, QC, Canada",51.7023536,-76.8088538,
352,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
353,Anjou,QC,,"Anjou, QC, Canada",45.6048982,-73.5466723,
354,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
355,Iqaluit,NU,,"Iqaluit, NU, Canada",63.7577822,-68.5587568,6364
356,Saint-Jérôme,QC,,"Saint-Jérôme, QC, Canada",45.775426,-74.013176,
357,Surrey,BC,,"Surrey, BC, Canada",49.1913033,-122.8491439,
358,Levis,QC,,"Levis, QC, Canada",46.7910096,-71.1753274,
359,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
360,Sylvan Lake,AB,,"Sylvan Lake, AB, Canada",52.3056132,-114.0908391,11327
361,,QC,,"nan, QC, Canada",52.4760892,-71.8258668,
362,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
363,,QC,,"nan, QC, Canada",52.4760892,-71.8258668,
364,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
365,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
366,Kelowna,BC,,"Kelowna, BC, Canada",49.889326,-119.498291,129691
367,Lac Ste. Anne,QC,,"Lac Ste. Anne, QC, Canada",50.0929668,-67.9623568,
368,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
369,Saskachewan,SK,,"Saskachewan, SK, Canada",55.5321257,-106.1412243,
370,Langley,BC,,"Langley, BC, Canada",49.10647185,-122.5501312,
371,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
372,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
373,Kelowna,BC,,"Kelowna, BC, Canada",49.889326,-119.498291,129691
374,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
375,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
376,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
377,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
378,Newmarket,ON,,"Newmarket, ON, Canada",44.056258,-79.461708,
379,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
380,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
381,Waterloo,ON,,"Waterloo, ON, Canada",43.466874,-80.524635,
382,Hampstead,QC,,"Hampstead, QC, Canada",45.4811545,-73.6469908,
383,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
384,Kingston,ON,,"Kingston, ON, Canada",44.230687,-76.481323,115695
385,Mississauga,ON,,"Mississauga, ON, Canada",43.590338,-79.645729,
386,Brandon,MB,,"Brandon, MB, Canada",49.8511143,-99.9608924,25134
387,Sudbury,ON,,"Sudbury, ON, Canada",46.49272,-80.991211,111118
388,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
389,,ON,,"nan, ON, Canada",50.000678,-86.000977,
390,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
391,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
392,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
393,West Moberly,BC,,"West Moberly, BC, Canada",51.3709865,-117.0194685,
394,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
395,Dryden,ON,,"Dryden, ON, Canada",49.785698,-92.835846,7012
396,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
397,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
398,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
399,Surrey,BC,,"Surrey, BC, Canada",49.1913033,-122.8491439,
400,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
401,Sioux Lookout,ON,,"Sioux Lookout, ON, Canada",50.11345465,-92.19624323,3777
402,Richmond,BC,,"Richmond, BC, Canada",49.163168,-123.137414,
403,North Bay,ON,,"North Bay, ON, Canada",46.3092115,-79.4607617,49664
404,,,TRUE,"nan, nan, Canada",61.0666922,-107.9917071,
405,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
406,Grande Prairie,AB,,"Grande Prairie, AB, Canada",55.17108,-118.7949873,42712
407,Saskatoon,SK,,"Saskatoon, SK, Canada",52.131802,-106.660767,199523
408,Peterborough,ON,,"Peterborough, ON, Canada",44.3048009,-78.3199496,76458
409,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
410,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
411,Dartmouth,NS,,"Dartmouth, NS, Canada",44.6799707,-63.5720232,
412,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
413,,QC,,"nan, QC, Canada",52.4760892,-71.8258668,
414,Burnaby,BC,,"Burnaby, BC, Canada",49.2433804,-122.9725459,
415,Hamilton,ON,,"Hamilton, ON, Canada",43.2560802,-79.8728583,661942
416,Yellowknife,NT,,"Yellowknife, NT, Canada",62.4710386,-114.4467513,15748
417,Truro,NS,,"Truro, NS, Canada",45.366668,-63.300006,20458
418,York,ON,,"York, ON, Canada",43.6896191,-79.479188,
419,,SK,,"nan, SK, Canada",61.0666922,-107.9917071,
420,Mississauga,ON,,"Mississauga, ON, Canada",43.590338,-79.645729,
421,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
422,Edson,AB,,"Edson, AB, Canada",53.5858662,-116.4428477,8069
423,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
424,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
425,,,TRUE,"nan, nan, Canada",61.0666922,-107.9917071,
426,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
427,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
428,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
429,Sutton,QC,,"Sutton, QC, Canada",45.1109765,-72.6177899,
430,Coquitlam,BC,,"Coquitlam, BC, Canada",49.2842958,-122.793281,
431,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
432,,QC,,"nan, QC, Canada",52.4760892,-71.8258668,
433,Thunder Bay,ON,,"Thunder Bay, ON, Canada",48.406414,-89.259796,98237
434,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
435,Fredericton,NB,,"Fredericton, NB, Canada",45.966425,-66.645813,51916
436,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
437,,ON,,"nan, ON, Canada",50.000678,-86.000977,
438,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
439,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
440,,,TRUE,"nan, nan, Canada",61.0666922,-107.9917071,
441,Coquitlam,BC,,"Coquitlam, BC, Canada",49.2842958,-122.793281,
442,Burlington,ON,,"Burlington, ON, Canada",43.3248924,-79.7966835,
443,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
444,Hamilton,ON,,"Hamilton, ON, Canada",43.2560802,-79.8728583,661942
445,Burlington,ON,,"Burlington, ON, Canada",43.3248924,-79.7966835,
446,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
447,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
448,Qc City,QC,,"Qc City, QC, Canada",51.7023536,-76.8088538,
449,London,ON,,"London, ON, Canada",42.9836747,-81.2496068,348681
450,Hamilton,ON,,"Hamilton, ON, Canada",43.2560802,-79.8728583,661942
451,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
452,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
453,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
454,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
455,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
456,,QC,,"nan, QC, Canada",52.4760892,-71.8258668,
457,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
458,,,TRUE,"nan, nan, Canada",61.0666922,-107.9917071,
459,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
460,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
461,Surrey,BC,,"Surrey, BC, Canada",49.1913033,-122.8491439,
462,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
463,North Fraser,BC,,"North Fraser, BC, Canada",59.715297,-135.0479946,
464,Williams Lake,QC,,"Williams Lake, QC, Canada",45.7680445,-71.9228,
465,Grand Rapids,MB,,"Grand Rapids, MB, Canada",53.174765,-99.269714,
466,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
467,Victoria,BC,,"Victoria, BC, Canada",48.4283182,-123.3649533,289837
468,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
469,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
470,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
471,York,ON,,"York, ON, Canada",43.6896191,-79.479188,
472,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
473,Cornwall,ON,,"Cornwall, ON, Canada",45.0184417,-74.728703,48894
474,Kamloops,BC,,"Kamloops, BC, Canada",50.6758269,-120.3394159,68879
475,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
476,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
477,Berwick,AB,,"Berwick, AB, Canada",45.0455684,-64.7362073,
478,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
479,Sechelt,BC,,"Sechelt, BC, Canada",49.4721147,-123.7631244,5982
480,Qc City,QC,,"Qc City, QC, Canada",51.7023536,-76.8088538,
481,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
482,Regina,SK,,"Regina, SK, Canada",50.44876,-104.61731,175727
483,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
484,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
485,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
486,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
487,Regina,SK,,"Regina, SK, Canada",50.44876,-104.61731,175727
488,Surrey,BC,,"Surrey, BC, Canada",49.1913033,-122.8491439,
489,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
490,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
491,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
492,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
493,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
494,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
495,Victoria,BC,,"Victoria, BC, Canada",48.4283182,-123.3649533,289837
496,Waterloo,ON,,"Waterloo, ON, Canada",43.466874,-80.524635,
497,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
498,,NS,,"nan, NS, Canada",45.1960403,-63.1653789,
499,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
500,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
501,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
502,Hamilton,ON,,"Hamilton, ON, Canada",43.2560802,-79.8728583,661942
503,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
504,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
505,Sydney,NS,,"Sydney, NS, Canada",46.137977,-60.194092,32357
506,Thunder Bay,ON,,"Thunder Bay, ON, Canada",48.406414,-89.259796,98237
507,Charlottetown,PE,,"Charlottetown, PE, Canada",46.2906776,-63.12947829,43540
508,London,ON,,"London, ON, Canada",42.9836747,-81.2496068,348681
509,Hamilton,ON,,"Hamilton, ON, Canada",43.2560802,-79.8728583,661942
510,Cole Harbour,NS,,"Cole Harbour, NS, Canada",45.2593736,-61.2699661,
511,Gatineau,QC,,"Gatineau, QC, Canada",45.4283596,-75.7106204,
512,Kelowna,BC,,"Kelowna, BC, Canada",49.889326,-119.498291,129691
513,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
514,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
515,Mississauga,ON,,"Mississauga, ON, Canada",43.590338,-79.645729,
516,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
517,Georgina,ON,,"Georgina, ON, Canada",44.2280235,-79.4644446,46775
518,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
519,Laval,QC,,"Laval, QC, Canada",45.60558895,-73.73441731,
520,Burnaby,BC,,"Burnaby, BC, Canada",49.2433804,-122.9725459,
521,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
522,Richmond,BC,,"Richmond, BC, Canada",49.163168,-123.137414,
523,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
524,St. John'S,NL,,"St. John'S, NL, Canada",47.561701,-52.715149,
525,Hamilton,ON,,"Hamilton, ON, Canada",43.2560802,-79.8728583,661942
526,Surrey,BC,,"Surrey, BC, Canada",49.1913033,-122.8491439,
527,London,ON,,"London, ON, Canada",42.9836747,-81.2496068,348681
528,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
529,Windsor,ON,,"Windsor, ON, Canada",42.317099,-83.0353434,281545
530,Antigonish,NS,,"Antigonish, NS, Canada",45.6213607,-61.9904928,4957
531,,AB,,"nan, AB, Canada",55.001251,-115.002136,
532,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
533,,AB,,"nan, AB, Canada",55.001251,-115.002136,
534,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
535,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
536,Laval,QC,,"Laval, QC, Canada",45.60558895,-73.73441731,
537,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
538,,,TRUE,"nan, nan, Canada",61.0666922,-107.9917071,
539,St. John'S,NL,,"St. John'S, NL, Canada",47.561701,-52.715149,
540,Waterloo,ON,,"Waterloo, ON, Canada",43.466874,-80.524635,
541,St. John'S,NL,,"St. John'S, NL, Canada",47.561701,-52.715149,
542,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
543,Strathmore,AB,,"Strathmore, AB, Canada",51.0435486,-113.3998479,10714
544,Peel,ON,,"Peel, ON, Canada",43.745865,-79.7962296,
545,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
546,,,TRUE,"nan, nan, Canada",61.0666922,-107.9917071,
547,Niagara,ON,,"Niagara, ON, Canada",43.0631891,-79.3098089,
548,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
549,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
550,,BC,,"nan, BC, Canada",55.001251,-125.002441,
551,,BC,,"nan, BC, Canada",55.001251,-125.002441,
552,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
553,Victoria,BC,,"Victoria, BC, Canada",48.4283182,-123.3649533,289837
554,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
555,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
556,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
557,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
558,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
559,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
560,,NS,,"nan, NS, Canada",45.1960403,-63.1653789,
561,Thunder Bay,ON,,"Thunder Bay, ON, Canada",48.406414,-89.259796,98237
562,,,TRUE,"nan, nan, Canada",61.0666922,-107.9917071,
563,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
564,,,TRUE,"nan, nan, Canada",61.0666922,-107.9917071,
565,,,TRUE,"nan, nan, Canada",61.0666922,-107.9917071,
566,,ON,,"nan, ON, Canada",50.000678,-86.000977,
567,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
568,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
569,Pembroke,ON,,"Pembroke, ON, Canada",45.8260909,-77.113541,15674
570,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
571,Durham,ON,,"Durham, ON, Canada",44.0338942,-78.86978799,2898
572,,NS,,"nan, NS, Canada",45.1960403,-63.1653789,
573,Port Alberni,AB,,"Port Alberni, AB, Canada",49.2343668,-124.8056517,
574,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
575,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
576,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
577,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
578,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
579,,,TRUE,"nan, nan, Canada",61.0666922,-107.9917071,
580,Windsor,ON,,"Windsor, ON, Canada",42.317099,-83.0353434,281545
581,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
582,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
583,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
584,,ON,,"nan, ON, Canada",50.000678,-86.000977,
585,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
586,,ON,,"nan, ON, Canada",50.000678,-86.000977,
587,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
588,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
589,,QC,,"nan, QC, Canada",52.4760892,-71.8258668,
590,Coquitlam,BC,,"Coquitlam, BC, Canada",49.2842958,-122.793281,
591,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
592,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
593,Mississauga,ON,,"Mississauga, ON, Canada",43.590338,-79.645729,
594,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
595,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
596,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
597,Windsor,ON,,"Windsor, ON, Canada",42.317099,-83.0353434,281545
598,Happy Valley-Goose Bay,NL,,"Happy Valley-Goose Bay, NL, Canada",53.2964352,-60.3111895,6034
599,St. John'S,NL,,"St. John'S, NL, Canada",47.561701,-52.715149,
600,Saskatoon,SK,,"Saskatoon, SK, Canada",52.131802,-106.660767,199523
601,Whycocomagh,NS,,"Whycocomagh, NS, Canada",45.9745351,-61.1274495,
602,Kamloops,BC,,"Kamloops, BC, Canada",50.6758269,-120.3394159,68879
603,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
604,Kamloops,BC,,"Kamloops, BC, Canada",50.6758269,-120.3394159,68879
605,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
606,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
607,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
608,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
609,Courtenay,BC,,"Courtenay, BC, Canada",49.6894061,-124.9954959,32817
610,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
611,Peterborough,ON,,"Peterborough, ON, Canada",44.3048009,-78.3199496,76458
612,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
613,,ON,,"nan, ON, Canada",50.000678,-86.000977,
614,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
615,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
616,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
617,Richmond,BC,,"Richmond, BC, Canada",49.163168,-123.137414,
618,Coquitlam,BC,,"Coquitlam, BC, Canada",49.2842958,-122.793281,
619,,AB,,"nan, AB, Canada",55.001251,-115.002136,
620,Bible Hill,NS,,"Bible Hill, NS, Canada",45.376314,-63.2484791,
621,Thunder Bay,ON,,"Thunder Bay, ON, Canada",48.406414,-89.259796,98237
622,,BC,,"nan, BC, Canada",55.001251,-125.002441,
623,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
624,Whycocomagh,NS,,"Whycocomagh, NS, Canada",45.9745351,-61.1274495,
625,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
626,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
627,Niagara,ON,,"Niagara, ON, Canada",43.0631891,-79.3098089,
628,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
629,Peterborough,ON,,"Peterborough, ON, Canada",44.3048009,-78.3199496,76458
630,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
631,Cape Breton,NS,,"Cape Breton, NS, Canada",46.2950327,-60.93605535,
632,Gabriola Island,BC,,"Gabriola Island, BC, Canada",49.1649047,-123.8147457,
633,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
634,Thunder Bay,ON,,"Thunder Bay, ON, Canada",48.406414,-89.259796,98237
635,Hamilton,ON,,"Hamilton, ON, Canada",43.2560802,-79.8728583,661942
636,,NS,,"nan, NS, Canada",45.1960403,-63.1653789,
637,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
638,London,ON,,"London, ON, Canada",42.9836747,-81.2496068,348681
639,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
640,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
641,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
642,,NB,,"nan, NB, Canada",46.500283,-66.750183,
643,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
644,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
645,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
646,,NB,,"nan, NB, Canada",46.500283,-66.750183,
647,Windsor,ON,,"Windsor, ON, Canada",42.317099,-83.0353434,281545
648,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
649,Burnaby,BC,,"Burnaby, BC, Canada",49.2433804,-122.9725459,
650,Bay Of Quinte,ON,,"Bay Of Quinte, ON, Canada",44.1536272,-77.52992949,
651,Cobourg,ON,,"Cobourg, ON, Canada",43.9595998,-78.1677784,18316
652,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
653,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
654,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
655,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
656,London,ON,,"London, ON, Canada",42.9836747,-81.2496068,348681
657,Port Alberni,AB,,"Port Alberni, AB, Canada",49.2343668,-124.8056517,
658,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
659,Coquitlam,BC,,"Coquitlam, BC, Canada",49.2842958,-122.793281,
660,Innu Nation,NL,,"Innu Nation, NL, Canada",53.51675595,-60.1457225,
661,Simcoe North,ON,,"Simcoe North, ON, Canada",44.68805885,-79.98575937,
662,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
663,West Island,QC,,"West Island, QC, Canada",45.51354495,-73.55821586,
664,,BC,,"nan, BC, Canada",55.001251,-125.002441,
665,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
666,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
667,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
668,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
